user,platform,komentar,timestamp,sentimen,cleaned_komentar
bprastuti,Instagram,biasa aja sih,2024-12-23 15:21:51,netral,aja sih
eka51,Instagram,ga tau mau bilang apa,2024-12-23 15:50:54,netral,ga tau bilang
rrajasa,Instagram,tergantung yg nonton juga sih,2024-12-23 15:52:56,netral,gantung yg nonton sih
naradimulyani,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:01:11,netral,gue liat ya udah ya
gandi44,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:05:32,positif,ceramah tetep dapet relax aja guys
clazuardi,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:23:10,positif,jujurly lucu banget sih
edisonpradipta,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:31:53,positif,jujurly lucu banget sih
nwaluyo,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:49:47,positif,jujurly lucu banget sih
phariyah,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:37:58,positif,jujurly lucu banget sih
tambaeka,Instagram,ga tau mau bilang apa,2024-12-23 15:09:45,netral,ga tau bilang
lalasuartini,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:48:38,negatif,sih udah lewat batas
marsito59,Instagram,biasa aja sih,2024-12-23 15:06:23,netral,aja sih
bagas66,Instagram,tergantung yg nonton juga sih,2024-12-23 15:55:13,netral,gantung yg nonton sih
wulandarigalur,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:11:17,positif,gw tuju sih ama omong gus
imahendra,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:05:10,negatif,ga lucu nyakitin hati yg jual
narjijailani,Instagram,tergantung yg nonton juga sih,2024-12-23 15:36:04,netral,gantung yg nonton sih
nainggolanibun,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:24:39,negatif,sih udah lewat batas
rachel55,Instagram,ceramah apaan malah ngehina,2024-12-23 15:18:27,negatif,ceramah ngehina
sdongoran,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:53:44,negatif,jual es teh jd insecure
martanapudjiastuti,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:21:24,negatif,ga lucu nyakitin hati yg jual
edi42,Instagram,ceramah apaan malah ngehina,2024-12-23 15:46:07,negatif,ceramah ngehina
imam50,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:12:48,negatif,ga lucu nyakitin hati yg jual
jumarimandala,Instagram,tergantung yg nonton juga sih,2024-12-23 15:34:15,netral,gantung yg nonton sih
atmadongoran,Instagram,biasa aja sih,2024-12-23 15:13:15,netral,aja sih
msuryatmi,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:00:54,positif,jujurly lucu banget sih
mardhiyahkambali,Instagram,tergantung yg nonton juga sih,2024-12-23 15:29:48,netral,gantung yg nonton sih
rsamosir,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:05:46,negatif,ga sopan bgt ngomong gitu
daryaniwaluyo,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:37:28,negatif,ga sopan bgt ngomong gitu
haripudjiastuti,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:45:07,negatif,jual es teh jd insecure
asmuni13,Instagram,ga tau mau bilang apa,2024-12-23 15:33:36,netral,ga tau bilang
januargaiman,Instagram,ceramah apaan malah ngehina,2024-12-23 15:18:35,negatif,ceramah ngehina
gprasetyo,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:41:45,netral,netral aja sih gw liat
nugrohodacin,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:57:14,negatif,sih udah lewat batas
kpudjiastuti,Instagram,hmm no comment deh,2024-12-23 15:41:37,netral,hmm no comment deh
qhartati,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:23:01,positif,jujurly lucu banget sih
radenkuswandari,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:35:33,negatif,ga sopan bgt ngomong gitu
pertiwipuspa,Instagram,ga tau mau bilang apa,2024-12-23 15:47:18,netral,ga tau bilang
lnuraini,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:20:19,negatif,ga lucu nyakitin hati yg jual
cakrajiya34,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:49:28,negatif,ga sopan bgt ngomong gitu
firgantorojulia,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:07:16,positif,jujurly lucu banget sih
samiah59,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:05:38,netral,gue liat ya udah ya
ghaliyati82,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:44:27,negatif,ga sopan bgt ngomong gitu
purwadi66,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:50:02,negatif,ga lucu nyakitin hati yg jual
prasastatari,Instagram,biasa aja sih,2024-12-23 15:38:52,netral,aja sih
jarwamangunsong,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:23:31,negatif,sih udah lewat batas
violet59,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:23:16,positif,bener sih kadang netizen baper
gfarida,Instagram,biasa aja sih,2024-12-23 15:18:08,netral,aja sih
prastutisabrina,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:24:03,positif,gw tuju sih ama omong gus
cawisadiutami,Instagram,biasa aja sih,2024-12-23 15:35:04,netral,aja sih
saragihbalamantri,Instagram,hmm no comment deh,2024-12-23 15:33:30,netral,hmm no comment deh
kasimfirgantoro,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:33:18,positif,bener sih kadang netizen baper
wwaluyo,Instagram,ga tau mau bilang apa,2024-12-23 15:53:55,netral,ga tau bilang
sihotangputi,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:40:02,positif,ni gus emg aja laku
taniamandasari,Instagram,hmm no comment deh,2024-12-23 15:00:50,netral,hmm no comment deh
vwahyuni,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:22:08,positif,bener sih kadang netizen baper
kuncarapangestu,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:00:32,positif,gw tuju sih ama omong gus
nurdiyantilukita,Instagram,ceramah apaan malah ngehina,2024-12-23 15:29:14,negatif,ceramah ngehina
hastutiputu,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:59:30,positif,jujurly lucu banget sih
fpudjiastuti,Instagram,biasa aja sih,2024-12-23 15:50:33,netral,aja sih
bhutasoit,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:29:21,netral,gue liat ya udah ya
susantioliva,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:05:27,negatif,gus miftah maaf sih
oktavianifebi,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:52:48,negatif,sih udah lewat batas
dimaz07,Instagram,tergantung yg nonton juga sih,2024-12-23 15:51:57,netral,gantung yg nonton sih
enugroho,Instagram,hmm no comment deh,2024-12-23 15:24:48,netral,hmm no comment deh
cakrabuana15,Instagram,ceramah apaan malah ngehina,2024-12-23 15:10:58,negatif,ceramah ngehina
upradipta,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:41:55,positif,biar keras niat
ivanadriansyah,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:49:58,positif,ceramah tetep dapet relax aja guys
ypuspita,Instagram,hmm no comment deh,2024-12-23 15:13:07,netral,hmm no comment deh
makara15,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:39:47,negatif,sih udah lewat batas
smarbun,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:44:56,positif,ni gus emg aja laku
septi15,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:08:42,negatif,jual es teh jd insecure
xsinaga,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:30:03,positif,bener sih kadang netizen baper
prayogacakrajiya,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:20:46,negatif,ga lucu nyakitin hati yg jual
muhammad10,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:45:35,positif,biar keras niat
prasetyamaheswara,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:49:58,negatif,gus miftah maaf sih
nasyiahpanji,Instagram,hmm no comment deh,2024-12-23 15:59:30,netral,hmm no comment deh
chelseapradipta,Instagram,ga tau mau bilang apa,2024-12-23 15:15:28,netral,ga tau bilang
kutama,Instagram,hmm no comment deh,2024-12-23 15:31:10,netral,hmm no comment deh
galuhsuartini,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:59:57,negatif,jual es teh jd insecure
virmansafitri,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:47:46,positif,ceramah tetep dapet relax aja guys
fitria83,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:19:10,negatif,ga sopan bgt ngomong gitu
rajasanabila,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:48:32,negatif,gus miftah maaf sih
budimangina,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:55:01,positif,ni gus emg aja laku
zmandasari,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:30:39,negatif,jual es teh jd insecure
ehutasoit,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:36:28,negatif,ga sopan bgt ngomong gitu
karen53,Instagram,tergantung yg nonton juga sih,2024-12-23 15:08:24,netral,gantung yg nonton sih
calista63,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:18:17,positif,bener sih kadang netizen baper
maheswarabakidin,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:21:22,positif,ceramah tetep dapet relax aja guys
raden47,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:40:02,negatif,gus miftah maaf sih
bsuryatmi,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:26:03,positif,gw tuju sih ama omong gus
hhutagalung,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:20:19,positif,jujurly lucu banget sih
koko29,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:18:17,negatif,gus miftah maaf sih
margana29,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:35:09,positif,biar keras niat
teguhzulkarnain,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:16:44,positif,jujurly lucu banget sih
fujiatipardi,Instagram,ga tau mau bilang apa,2024-12-23 15:35:48,netral,ga tau bilang
endahpermata,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:58:35,positif,ceramah tetep dapet relax aja guys
maulanaana,Instagram,tergantung yg nonton juga sih,2024-12-23 15:23:24,netral,gantung yg nonton sih
viktorpranowo,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:36:13,negatif,jual es teh jd insecure
nurainikurnia,Instagram,ga tau mau bilang apa,2024-12-23 15:10:14,netral,ga tau bilang
hwijayanti,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:22:02,negatif,ga sopan bgt ngomong gitu
dodo87,Instagram,ga tau mau bilang apa,2024-12-23 15:39:07,netral,ga tau bilang
najwa72,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:59:45,positif,bener sih kadang netizen baper
ida23,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:31:40,negatif,gus miftah maaf sih
tlestari,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:53:31,positif,bener sih kadang netizen baper
cemaniuyainah,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:56:18,negatif,ga sopan bgt ngomong gitu
jelita15,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:56:28,netral,gue liat ya udah ya
okuswandari,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:28:08,negatif,jual es teh jd insecure
zulkarnainbetania,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:42:22,positif,ni gus emg aja laku
makutawibisono,Instagram,tergantung yg nonton juga sih,2024-12-23 15:51:39,netral,gantung yg nonton sih
jkuswandari,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:38:16,positif,bener sih kadang netizen baper
hartaka43,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:57:00,negatif,jual es teh jd insecure
danang84,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:36:10,netral,gue liat ya udah ya
rahayu85,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:49:26,positif,jujurly lucu banget sih
inapitupulu,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:10:32,positif,bener sih kadang netizen baper
pujimegantara,Instagram,ceramah apaan malah ngehina,2024-12-23 15:09:37,negatif,ceramah ngehina
ekasirait,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:46:53,negatif,sih udah lewat batas
estiawansuartini,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:18:10,positif,gw tuju sih ama omong gus
estiawanwacana,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:43:59,negatif,ga lucu nyakitin hati yg jual
zsitompul,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:36:01,netral,netral aja sih gw liat
vkuswandari,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:13:48,negatif,jual es teh jd insecure
kuswandaridiana,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:36:31,negatif,gus miftah maaf sih
vpranowo,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:53:09,positif,biar keras niat
irianariyanti,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:53:02,negatif,sih udah lewat batas
darsirahwastuti,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:00:59,negatif,gus miftah maaf sih
adriansyahgilang,Instagram,biasa aja sih,2024-12-23 15:57:54,netral,aja sih
gzulkarnain,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:24:09,positif,jujurly lucu banget sih
fkurniawan,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:19:39,negatif,jual es teh jd insecure
fwaluyo,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:25:21,negatif,ga sopan bgt ngomong gitu
patriciamahendra,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:30:05,positif,bener sih kadang netizen baper
nurainihafshah,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:20:37,positif,bener sih kadang netizen baper
luwarmayasari,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:37:01,positif,jujurly lucu banget sih
ihsansinaga,Instagram,ceramah apaan malah ngehina,2024-12-23 15:06:41,negatif,ceramah ngehina
psiregar,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:31:16,negatif,gus miftah maaf sih
bhutapea,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:58:45,positif,ni gus emg aja laku
elisihombing,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:57:40,positif,jujurly lucu banget sih
rendypradipta,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:38:29,negatif,gus miftah maaf sih
tirtahutapea,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:54:23,netral,netral aja sih gw liat
wmegantara,Instagram,ga tau mau bilang apa,2024-12-23 15:29:06,netral,ga tau bilang
rahayu04,Instagram,ga tau mau bilang apa,2024-12-23 15:07:10,netral,ga tau bilang
cahyadi81,Instagram,tergantung yg nonton juga sih,2024-12-23 15:40:27,netral,gantung yg nonton sih
sihotangpadmi,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:19:15,negatif,ga lucu nyakitin hati yg jual
nadinefirgantoro,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:37:49,negatif,gus miftah maaf sih
julimardhiyah,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:05:37,negatif,ga sopan bgt ngomong gitu
usetiawan,Instagram,hmm no comment deh,2024-12-23 15:37:43,netral,hmm no comment deh
rsihombing,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:23:49,positif,gw tuju sih ama omong gus
adeadriansyah,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:15:35,negatif,gus miftah maaf sih
marpaungpuput,Instagram,tergantung yg nonton juga sih,2024-12-23 15:49:21,netral,gantung yg nonton sih
jessica64,Instagram,ceramah apaan malah ngehina,2024-12-23 15:05:43,negatif,ceramah ngehina
aisyah98,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:10:55,netral,netral aja sih gw liat
sinagakarja,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:33:50,positif,ceramah tetep dapet relax aja guys
tarihorankusuma,Instagram,hmm no comment deh,2024-12-23 15:42:51,netral,hmm no comment deh
haryanticager,Instagram,tergantung yg nonton juga sih,2024-12-23 15:58:54,netral,gantung yg nonton sih
ibunsuwarno,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:47:10,positif,biar keras niat
lasmanto97,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:24:45,negatif,jual es teh jd insecure
budimandigdaya,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:54:55,positif,bener sih kadang netizen baper
lestarieli,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:54:29,negatif,ga sopan bgt ngomong gitu
saadatgunarto,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:14:39,negatif,ga sopan bgt ngomong gitu
dmarpaung,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:08:54,negatif,sih udah lewat batas
ksiregar,Instagram,biasa aja sih,2024-12-23 15:11:04,netral,aja sih
gandewamansur,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:49:09,positif,bener sih kadang netizen baper
mahendragara,Instagram,ceramah apaan malah ngehina,2024-12-23 15:42:26,negatif,ceramah ngehina
puspasariluis,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:21:59,netral,gue liat ya udah ya
csiregar,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:39:30,netral,gue liat ya udah ya
oman24,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:18:57,negatif,ga lucu nyakitin hati yg jual
ellisdamanik,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:58:32,positif,gw tuju sih ama omong gus
isaragih,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:27:14,negatif,ga lucu nyakitin hati yg jual
darman76,Instagram,ceramah apaan malah ngehina,2024-12-23 15:10:26,negatif,ceramah ngehina
harimurti90,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:57:05,netral,gue liat ya udah ya
permatahumaira,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:01:17,positif,ni gus emg aja laku
bsusanti,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:20:49,positif,ceramah tetep dapet relax aja guys
nprasetyo,Instagram,ga tau mau bilang apa,2024-12-23 15:46:56,netral,ga tau bilang
banawalatupono,Instagram,tergantung yg nonton juga sih,2024-12-23 15:45:49,netral,gantung yg nonton sih
nurainicarla,Instagram,ga tau mau bilang apa,2024-12-23 15:08:53,netral,ga tau bilang
irma18,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:54:53,positif,gw tuju sih ama omong gus
mursitapratama,Instagram,tergantung yg nonton juga sih,2024-12-23 15:43:35,netral,gantung yg nonton sih
bakda19,Instagram,hmm no comment deh,2024-12-23 15:01:54,netral,hmm no comment deh
julilailasari,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:10:18,netral,gue liat ya udah ya
prabowokasusra,Instagram,ga tau mau bilang apa,2024-12-23 15:34:08,netral,ga tau bilang
sihombingkiandra,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:56:00,positif,ceramah tetep dapet relax aja guys
hamimaoktaviani,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:16:34,negatif,gus miftah maaf sih
hendra66,Instagram,hmm no comment deh,2024-12-23 15:49:13,netral,hmm no comment deh
harjasa28,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:26:31,positif,bener sih kadang netizen baper
riyantianom,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:00:55,positif,jujurly lucu banget sih
gada59,Instagram,biasa aja sih,2024-12-23 15:29:02,netral,aja sih
jefrifirmansyah,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:14:43,netral,gue liat ya udah ya
diswahyudi,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:57:33,netral,netral aja sih gw liat
