user,platform,komentar,timestamp,sentimen
teguhzulkarnain,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:16:44,positif
fujiatipardi,Instagram,ga tau mau bilang apa,2024-12-23 15:35:48,netral
endahpermata,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:58:35,positif
maulanaana,Instagram,tergantung yg nonton juga sih,2024-12-23 15:23:24,netral
viktorpranowo,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:36:13,negatif
nurainikurnia,Instagram,ga tau mau bilang apa,2024-12-23 15:10:14,netral
hwijayanti,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:22:02,negatif
dodo87,Instagram,ga tau mau bilang apa,2024-12-23 15:39:07,netral
najwa72,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:59:45,positif
ida23,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:31:40,negatif
tlestari,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:53:31,positif
cemaniuyainah,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:56:18,negatif
jelita15,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:56:28,netral
okuswandari,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:28:08,negatif
zulkarnainbetania,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:42:22,positif
makutawibisono,Instagram,tergantung yg nonton juga sih,2024-12-23 15:51:39,netral
jkuswandari,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:38:16,positif
hartaka43,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:57:00,negatif
danang84,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:36:10,netral
rahayu85,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:49:26,positif
inapitupulu,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:10:32,positif
pujimegantara,Instagram,ceramah apaan malah ngehina,2024-12-23 15:09:37,negatif
ekasirait,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:46:53,negatif
estiawansuartini,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:18:10,positif
estiawanwacana,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:43:59,negatif
zsitompul,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:36:01,netral
vkuswandari,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:13:48,negatif
kuswandaridiana,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:36:31,negatif
vpranowo,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:53:09,positif
irianariyanti,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:53:02,negatif
darsirahwastuti,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:00:59,negatif
adriansyahgilang,Instagram,biasa aja sih,2024-12-23 15:57:54,netral
gzulkarnain,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:24:09,positif
fkurniawan,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:19:39,negatif
fwaluyo,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:25:21,negatif
patriciamahendra,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:30:05,positif
nurainihafshah,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:20:37,positif
luwarmayasari,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:37:01,positif
ihsansinaga,Instagram,ceramah apaan malah ngehina,2024-12-23 15:06:41,negatif
psiregar,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:31:16,negatif
bhutapea,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:58:45,positif
elisihombing,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:57:40,positif
rendypradipta,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:38:29,negatif
tirtahutapea,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:54:23,netral
wmegantara,Instagram,ga tau mau bilang apa,2024-12-23 15:29:06,netral
rahayu04,Instagram,ga tau mau bilang apa,2024-12-23 15:07:10,netral
cahyadi81,Instagram,tergantung yg nonton juga sih,2024-12-23 15:40:27,netral
sihotangpadmi,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:19:15,negatif
nadinefirgantoro,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:37:49,negatif
julimardhiyah,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:05:37,negatif
usetiawan,Instagram,hmm no comment deh,2024-12-23 15:37:43,netral
rsihombing,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:23:49,positif
adeadriansyah,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:15:35,negatif
marpaungpuput,Instagram,tergantung yg nonton juga sih,2024-12-23 15:49:21,netral
jessica64,Instagram,ceramah apaan malah ngehina,2024-12-23 15:05:43,negatif
aisyah98,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:10:55,netral
sinagakarja,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:33:50,positif
tarihorankusuma,Instagram,hmm no comment deh,2024-12-23 15:42:51,netral
haryanticager,Instagram,tergantung yg nonton juga sih,2024-12-23 15:58:54,netral
ibunsuwarno,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:47:10,positif
lasmanto97,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:24:45,negatif
budimandigdaya,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:54:55,positif
lestarieli,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:54:29,negatif
saadatgunarto,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:14:39,negatif
dmarpaung,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:08:54,negatif
ksiregar,Instagram,biasa aja sih,2024-12-23 15:11:04,netral
gandewamansur,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:49:09,positif
mahendragara,Instagram,ceramah apaan malah ngehina,2024-12-23 15:42:26,negatif
puspasariluis,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:21:59,netral
csiregar,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:39:30,netral
oman24,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:18:57,negatif
ellisdamanik,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:58:32,positif
isaragih,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:27:14,negatif
darman76,Instagram,ceramah apaan malah ngehina,2024-12-23 15:10:26,negatif
harimurti90,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:57:05,netral
permatahumaira,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:01:17,positif
bsusanti,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:20:49,positif
nprasetyo,Instagram,ga tau mau bilang apa,2024-12-23 15:46:56,netral
banawalatupono,Instagram,tergantung yg nonton juga sih,2024-12-23 15:45:49,netral
nurainicarla,Instagram,ga tau mau bilang apa,2024-12-23 15:08:53,netral
irma18,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:54:53,positif
mursitapratama,Instagram,tergantung yg nonton juga sih,2024-12-23 15:43:35,netral
bakda19,Instagram,hmm no comment deh,2024-12-23 15:01:54,netral
julilailasari,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:10:18,netral
prabowokasusra,Instagram,ga tau mau bilang apa,2024-12-23 15:34:08,netral
sihombingkiandra,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:56:00,positif
hamimaoktaviani,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:16:34,negatif
hendra66,Instagram,hmm no comment deh,2024-12-23 15:49:13,netral
harjasa28,Instagram,"bener juga sih, kadang netizen terlalu baper",2024-12-23 15:26:31,positif
riyantianom,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:00:55,positif
gada59,Instagram,biasa aja sih,2024-12-23 15:29:02,netral
jefrifirmansyah,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:14:43,netral
diswahyudi,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:57:33,netral
mhardiansyah,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:13:35,positif
tampubolonzaenab,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:53:21,positif
dimas69,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:36:25,negatif
prayogatirtayasa,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:24:33,negatif
betania97,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:16:46,positif
fmaheswara,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:20:29,positif
almiranainggolan,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:59:02,netral
warsa21,Instagram,ceramah apaan malah ngehina,2024-12-23 15:09:25,negatif
dabukkenarji,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:49:28,netral
nashiruddingabriella,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:14:04,negatif
ratna99,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:50:45,positif
qwahyuni,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:32:12,positif
rhutapea,Instagram,biasa aja sih,2024-12-23 15:18:28,netral
simbolonwarji,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:00:34,negatif
irawankamidin,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:08:04,negatif
uliharyanti,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:30:39,positif
gnatsir,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:39:30,negatif
purwasuryono,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:42:35,positif
opung01,Instagram,tergantung yg nonton juga sih,2024-12-23 15:53:03,netral
yusamah,Instagram,ceramah apaan malah ngehina,2024-12-23 15:40:44,negatif
kurniawanlintang,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:17:43,positif
qsaragih,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:14:10,netral
hartonasyidah,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:56:56,positif
jaimanpangestu,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:13:19,positif
hakimtitin,Instagram,tergantung yg nonton juga sih,2024-12-23 15:18:57,netral
egunawan,Instagram,biasa aja sih,2024-12-23 15:59:28,netral
ramadankania,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:55:04,positif
bakda02,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:53:17,negatif
maheswaramarsudi,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:25:57,negatif
olga65,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:48:12,negatif
paiman74,Instagram,hmm no comment deh,2024-12-23 15:54:52,netral
novitasaribanara,Instagram,masih netral aja sih gw liatnya,2024-12-23 15:09:02,netral
marpaungvanesa,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:34:03,positif
udapradana,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:55:31,netral
wakimanhidayanto,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:03:07,negatif
qlailasari,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:21:06,negatif
zrahimah,Instagram,tergantung yg nonton juga sih,2024-12-23 15:29:52,netral
danggraini,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:52:17,netral
dwibudiyanto,Instagram,ni gus emg ada aja kelakuannya 😂,2024-12-23 15:46:49,positif
shastuti,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:06:51,negatif
ukusumo,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:24:32,positif
isiregar,Instagram,"ceramahnya tetep dapet kok, relax aja guys",2024-12-23 15:08:57,positif
usadakardi,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:12:24,netral
ajeng21,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:37:37,positif
osaefullah,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:39:02,netral
laksitagatra,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:27:56,negatif
nmulyani,Instagram,hmm no comment deh,2024-12-23 15:57:11,netral
ppudjiastuti,Instagram,"ga lucu, malah nyakitin hati yg jualan",2024-12-23 15:01:09,negatif
drajatmaryati,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:22:13,negatif
novitasariumaya,Instagram,gus miftah harus minta maaf sih ini,2024-12-23 15:40:06,negatif
hutagalungmulyanto,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:58:45,positif
wasismandala,Instagram,hmm no comment deh,2024-12-23 15:17:24,netral
enababan,Instagram,gue liat ini ya udah lah ya,2024-12-23 15:25:16,netral
sitompultina,Instagram,tergantung yg nonton juga sih,2024-12-23 15:08:02,netral
hasanahsiti,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:56:16,negatif
endra23,Instagram,bisa2 jualan es teh jd insecure 😓,2024-12-23 15:20:58,negatif
pardiyuniar,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:10:38,positif
vhariyah,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:50:20,negatif
radenriyanti,Instagram,gw setuju sih ama omongannya gus,2024-12-23 15:28:53,positif
aryaninurul,Instagram,biar agak keras tapi niatnya baik kok,2024-12-23 15:26:38,positif
baktiantojanuar,Instagram,waduh ini sih udah kelewat batas,2024-12-23 15:31:25,negatif
dasaastuti,Instagram,biasa aja sih,2024-12-23 15:00:01,netral
fyulianti,Instagram,jujurly lucu banget sih ini 😭,2024-12-23 15:51:18,positif
anastasiatarihoran,Instagram,ga sopan bgt ngomong gitu,2024-12-23 15:03:47,negatif
